Movie Name,Year,Rating,Votes
The Shawshank Redemption,1994,9.3,3198304
The Dark Knight,2008,9.1,3179134
Inception,2010,8.8,2826603
Fight Club,1999,8.8,2618882
Interstellar,2014,8.7,2545659
Forrest Gump,1994,8.8,2503553
Pulp Fiction,1994,8.8,2441389
The Matrix,1999,8.7,2254339
The Godfather,1972,9.2,2231582
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2212021
The Lord of the Rings: The Return of the King,2003,9.0,2169878
Seven,1995,8.6,2028717
The Dark Knight Rises,2012,8.4,2001050
The Lord of the Rings: The Two Towers,2002,8.8,1962086
Django Unchained,2012,8.5,1889638
Gladiator,2000,8.5,1855451
The Wolf of Wall Street,2013,8.2,1796584
Inglourious Basterds,2009,8.4,1791183
The Silence of the Lambs,1991,8.6,1728138
Batman Begins,2005,8.2,1720208
Joker,2019,8.3,1700612
Shutter Island,2010,8.2,1656035
Saving Private Ryan,1998,8.6,1644507
The Prestige,2006,8.5,1594258
Schindler's List,1993,9.0,1588096
Star Wars: Episode IV - A New Hope,1977,8.6,1573863
The Green Mile,1999,8.6,1565578
The Avengers,2012,8.0,1561955
The Departed,2006,8.5,1558990
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1508517
Avatar,2009,7.9,1501793
The Godfather Part II,1974,9.0,1497791
Back to the Future,1985,8.5,1457203
Avengers: Endgame,2019,8.4,1453894
Memento,2000,8.4,1438304
Titanic,1997,8.0,1397027
GoodFellas,1990,8.7,1396073
The Truman Show,1998,8.2,1380364
Avengers: Infinity War,2018,8.4,1378810
Guardians of the Galaxy,2014,8.0,1367615
Léon: The Professional,1994,8.5,1354003
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1329374
WALL·E,2008,8.4,1325670
Kill Bill: Vol. 1,2003,8.2,1310937
Terminator 2: Judgment Day,1991,8.6,1286751
American Beauty,1999,8.3,1280841
American History X,1998,8.5,1275902
The Lion King,1994,8.5,1262840
Deadpool,2016,8.0,1257537
V for Vendetta,2005,8.1,1248541
Catch Me If You Can,2002,8.1,1245655
The Usual Suspects,1995,8.5,1241227
Up,2009,8.3,1240303
The Shining,1980,8.4,1229584
Iron Man,2008,7.9,1228418
Good Will Hunting,1997,8.4,1222745
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1212656
Finding Nemo,2003,8.2,1211606
Mad Max: Fury Road,2015,8.1,1209471
No Country for Old Men,2007,8.2,1195403
Eternal Sunshine of the Spotless Mind,2004,8.3,1184923
Jurassic Park,1993,8.2,1182138
Toy Story,1995,8.3,1178582
Gone Girl,2014,8.1,1173127
Reservoir Dogs,1992,8.3,1172033
Parasite,2019,8.5,1171336
Braveheart,1995,8.3,1163513
Whiplash,2014,8.5,1161040
One Flew Over the Cuckoo's Nest,1975,8.6,1158248
The Sixth Sense,1999,8.2,1147428
Raiders of the Lost Ark,1981,8.4,1112026
The Hunger Games,2012,7.2,1084726
"Monsters, Inc.",2001,8.1,1077681
Alien,1979,8.4,1066682
Dune: Part One,2021,8.0,1062302
A Beautiful Mind,2001,8.2,1055704
Oppenheimer,2023,8.2,1049767
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1049605
Die Hard,1988,8.2,1031334
The Intouchables,2011,8.5,1030748
Taxi Driver,1976,8.2,1029210
Star Wars: Episode VII - The Force Awakens,2015,7.7,1028468
Spider-Man: No Way Home,2021,8.1,1027114
Scarface,1983,8.3,1020012
The Martian,2015,8.0,1016480
The Pianist,2002,8.5,1014366
The Terminator,1984,8.1,1007261
Avengers: Age of Ultron,2015,7.3,1004294
12 Angry Men,1957,9.0,987283
Snatch,2000,8.2,977999
Requiem for a Dream,2000,8.3,976032
The Grand Budapest Hotel,2014,8.1,975004
Captain America: The Winter Soldier,2014,7.7,974665
Toy Story 3,2010,8.3,974111
Spirited Away,2001,8.6,971265
Spider-Man,2002,7.4,971191
